entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;sumber_anggota
bengkel mobil_komplek griya jatiputra 42;BENGKEL MOBIL;5.0;3.0;KOMPLEK GRIYA JATIPUTRA 42;Kota Bandung;Bengkel Mobil;"Setiap ada masalah sama mesin mobil, pertolongan pertamanya selalu ke sini. Mantap! 👍 ||| Montirnya mantap, tempatnya nyaman. ||| Amanah.. Dan sangat bersahabat ||| Lagi naik ke tanjakan, mobil saya mogok.
Lalu cari bengkel sekitar, langsung ketemu pak Dadang yang bantuin.

Pak Dadang responsif, dan juga gerak cepat. Harga service dan sparepart bersahabat, ga asal ketok harga.

Terima kasih pak Dadang, bila kalian ada kendala di daerah sekitar, saya sangat recommend untuk service ke pak Dadang. 🙏🏻 ||| Terimakasih pak Nanang sdh membantu kesulitan kendaraan kami di vila sindangwaas....problem di fuse & relay alphard....pelayanan ramah dan cakap....next jika ada trouble kami akan kontak bapak. ||| Recommended sesalu kasih solusi yang terbaik setiap part apa yang mau dikerjakan. Hasil pengerjaannya okee bangetttt ||| Servis transmisi chevrolet captiva diesel 2.0L ||| Pak Nandang ramah, pengalaman dan cepat melayani...sy ganti master rem dan wheel cylinder brake";Rajif
bengkel dinamo mobil (auto24)_jl. cikadut, rt.5/rw.3;Bengkel dinamo mobil (Auto24);5.0;15.0;Jl. Cikadut, RT.5/RW.3;Kota Bandung;Bengkel Mobil;Pelayanan ramah, pengerjaan cepat dan bagus ||| pelayanan nya sangat bagus sekali ||| Pelayanan ramah respon cepat pengerjaan juga cepat ||| Terimakasih untuk perbaikan nya...dengan analisis dulu secara keseluruhan tidak asal monis 👍👍 ||| Fast respon, pelayanan ramah;Rajif
bengkel mobil el-hamid motor_jl. jatihandap no.25, rt.04/rw.09;Bengkel Mobil EL-HAMID MOTOR;5.0;4.0;Jl. Jatihandap No.25, RT.04/RW.09;Kota Bandung;Bengkel Mobil;ramah, tepat waktu, ganti oli relatif lebih murah 👌 ||| Kerja cepat..   Memuaskan hasilnya.. . Recomended ||| Bagus dan memuaskan..;Rajif
bengkel mobil indra auto servis area bandung kota_jl. cikadut no.18;bengkel mobil indra auto servis area bandung kota;5.0;1.0;Jl. Cikadut No.18;Kota Bandung;Toko perawatan otomotif;alhamdulilah berjalan dengan lancar servis indra auto servis;Rajif
bengkel cat mobil mang engkos bandung_gg. bukatanah i no.27;Bengkel Cat Mobil mang Engkos Bandung;5.0;4.0;Gg. Bukatanah I No.27;Kota Bandung;Bengkel Mobil;Top markotop ||| Hasilnya sangat memuaskan ||| Mantappppp;Rajif
distributor alat bengkel_komp griya, asri f lima no.20;Distributor Alat Bengkel;5.0;2.0;Komp Griya, Asri F Lima No.20;Kota Bandung;Toko Mesin Mobil;Tire changer kualitas bagus... merk cina juga ada, jd ada perbandingan harga ||| Seller recomended responsif... Lokasi rumah toko bukan gudang;Rajif
bengkel motor ljm2_4m4c+gg7, jl. giri raya;Bengkel motor ljm2;4.7;0.0;4M4C+GG7, Jl. Giri Raya;Kota Bandung;Bengkel Sepeda Motor;;Rajif
zheboo motor_jl. palintang no.105;Zheboo Motor;5.0;1.0;Jl. Palintang No.105;Kota Bandung;Bengkel Mobil;;Rajif
bengkel motor service motor_4m4c+436, jl. cikadut;Bengkel Motor Service Motor;4.7;0.0;4M4C+436, Jl. Cikadut;Kota Bandung;Bengkel Mobil;;Rajif
bengkel motor/mobil_jln. mekar ii,pasirlayung rt 02 rw 01 padasuka;Bengkel motor/mobil;4.7;0.0;JlN. Mekar II,pasirlayung RT 02 RW 01 Padasuka;Kota Bandung;Bengkel Sepeda Motor;;Rajif
tanjakan panjang_4p46+j2f;Tanjakan panjang;4.8;4.0;4P46+J2F;Kota Bandung;Bengkel Mobil;Bagus tempatnya makanannya juga enak;Rajif
bengkel cat mobil & las mobil bandung_jl. pawenang ii no.3;Bengkel Cat Mobil & Las Mobil Bandung;4.7;18.0;Jl. Pawenang II No.3;Kota Bandung;Bengkel Mobil;"Udah beberapa kali pakai jasa di bengkel ini, pengerjaannya rapi, cepat, mulus dan yang terpenting harganya bisa nego dan dibonusin poles panel lainnya. ||| Kerjaan ga teliti & ga rapih, mesen di poles semua setelah di cat sudah bayar full eh di poles sesuka2nya aja, bagian pinggir atasnya ga di poles ||| Harga terjangkau,bisa nego,kualitas ok.
Kendaraan yg menginap pun aman. ||| Juara keren banget ||| Keren banget, rapih, mulus ||| Udah beberapa kali pakai jasa di bengkel ini, pengerjaannya rapi, cepat, mulus dan yang terpenting harganya bisa nego dan dibonusin poles panel lainnya. ||| Kerjaan ga teliti & ga rapih, mesen di poles semua setelah di cat sudah bayar full eh di poles sesuka2nya aja, bagian pinggir atasnya ga di poles ||| Harga terjangkau,bisa nego,kualitas ok.
Kendaraan yg menginap pun aman. ||| Juara keren banget ||| Keren banget, rapih, mulus";Rajif
;SANDI MOTOR FACTORY;5.0;5.0;;Kota Bandung;Bengkel Sepeda Motor;bengkel rekomen buat supermoto sama trail. Manteppp... nuhun 🙏 ||| yanh mau service motor atau modifikasi motor bisa disini harga murah dan bisa dikondisikan sesuai dengan budget yg di punya ||| Mantap men ||| Nice to supermoto;Rajif
service radiator dan bengkel mobil_bengkel, jl ah nasution, jl. arcamanik jl. malabar no.303, rt.01/rw.11 kelurahan;Service radiator dan bengkel mobil;5.0;1.0;bengkel, Jl ah nasution, Jl. Arcamanik Jl. Malabar No.303, RT.01/RW.11 kelurahan;Kota Bandung;Jasa pengiriman mobil;;Rajif
bengkel mobil anugrah_jl. golf selatan i blk. v no.27;Bengkel Mobil Anugrah;5.0;2.0;Jl. Golf Selatan I Blk. V No.27;Kota Bandung;Bengkel Mobil;Montir nya ulet ||| Alhamdulilah;Rajif
automaster bengkel antapani_jl. terusan jakarta no.118;Automaster Bengkel Antapani;4.3;1326.0;Jl. Terusan Jakarta No.118;Kota Bandung;Bengkel Mobil;"gausah cuci mobil di sini. antriannya lama. dua kali nyuci di sini nunggunya sekitar 30 menit - 1 jam. padahal antrian di depan ga banyak.

kebetulan tadi mobil BMW yang dateng setelah saya malah diduluin. perlu ditegur dulu baru mobil saya dicuci duluan.

mas yang nyuci cuman sendiri. tidak nyalahin masnya, tapi jelas hasil nyucinya jadi ga maksimal. bercak dan kotoran yang jelas2 bisa dicuci pake sabun dan high pressure water masih banyak tersisa.

kalau liat review akhir2 ini, banyak yang pengalamannya sama kayak saya. seperinya tempat ini belum juga evaluasi ||| kualitas cuci makin berkurang tidak ada kontrol dr pihak automaster, makin asal2an. banyak yang sudah menyampaikan dan akhirnya saya buktikan sendiri 2 hari lalu. banyak yang tidak di lap, lap yang digunakan sangat kotor. ||| Pelayanannya cepat dan hasil cuci mobilnya bersih banget. Detail kecil juga diperhatiin, jadi mobil terasa lebih nyaman dipakai setelah dicuci. Staff ramah dan tempatnya nyaman. Recommended 👍 ||| cuci mobil disini super bersih, pengerjaan cepat, baguss recommended ||| Kapok cuci mobil disini, kurang bersih.. lift nya gak dipake, kolong gk di bersihkan.. saya nanya ke pelayannya bilangnya sudah dibersihkan. kalo cuma cuci Body mah dirumah juga bisa pak. padahal niat ke carwash tuh buat cuci kolong, jujur dong jangan begitu ||| gausah cuci mobil di sini. antriannya lama. dua kali nyuci di sini nunggunya sekitar 30 menit - 1 jam. padahal antrian di depan ga banyak.

kebetulan tadi mobil BMW yang dateng setelah saya malah diduluin. perlu ditegur dulu baru mobil saya dicuci duluan.

mas yang nyuci cuman sendiri. tidak nyalahin masnya, tapi jelas hasil nyucinya jadi ga maksimal. bercak dan kotoran yang jelas2 bisa dicuci pake sabun dan high pressure water masih banyak tersisa.

kalau liat review akhir2 ini, banyak yang pengalamannya sama kayak saya. seperinya tempat ini belum juga evaluasi ||| kualitas cuci makin berkurang tidak ada kontrol dr pihak automaster, makin asal2an. banyak yang sudah menyampaikan dan akhirnya saya buktikan sendiri 2 hari lalu. banyak yang tidak di lap, lap yang digunakan sangat kotor. ||| Pelayanannya cepat dan hasil cuci mobilnya bersih banget. Detail kecil juga diperhatiin, jadi mobil terasa lebih nyaman dipakai setelah dicuci. Staff ramah dan tempatnya nyaman. Recommended 👍 ||| cuci mobil disini super bersih, pengerjaan cepat, baguss recommended ||| Kapok cuci mobil disini, kurang bersih.. lift nya gak dipake, kolong gk di bersihkan.. saya nanya ke pelayannya bilangnya sudah dibersihkan. kalo cuma cuci Body mah dirumah juga bisa pak. padahal niat ke carwash tuh buat cuci kolong, jujur dong jangan begitu";Rajif
