entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;sumber_anggota
tempat ngopi_jl. sadang hegar ii no.2;Tempat Ngopi;5.0;1.0;Jl. Sadang Hegar II No.2;Kota Bandung;Kedai Kopi;Namanya perrenialCoffee mungkin belom diganti, tapi tempatnya oke buat nongkrong, trus harga kopinya ga bikin kantong bolong, murah, enak, chill...;Indra
menoewa kopi bandung_3hxq+wj3;MENOEWA KOPI BANDUNG;4.6;0.0;3HXQ+WJ3;Kota Bandung;Kedai Kopi;;Indra
toko kopi giling bandung_jl. prof. drg. soeria soemantri no.74;TOKO KOPI GILING BANDUNG;4.6;0.0;Jl. Prof. drg. Soeria Soemantri No.74;Kota Bandung;Kedai Kopi;;Indra
kedai kopi tarikulur_jl. terusan cigadung no.6;Kedai Kopi TarikUlur;4.6;441.0;Jl. Terusan Cigadung No.6;Kota Bandung;Kedai Kopi;"Ayam tangkep nya enak.., sptnya pakai ayam kampung ya.., beli 1 ekor buat ber 4, pas, bumbunya enak. Teh tariknya juga bukan yg asal. Rasanya enak, mirip aslinya. Pertahankan, hrs agak sabar dikit saja, karna mungkin diolahnya lgsg fresh ya, jadi agak lama, hrs nunggu di atas 15 menit an. Harga sudah naik ayak tangkep 1 porsi 40k, satu ekor 140k/150k. ||| bumbu dari makanan utamanya berasa dan lezat. Pengalaman makan dengan keluarga yang didapat sangat bisa dinikmati. Tempatnya juga nyaman ||| Makan malam disini...dgn menu nasi.ayam tangkap dan cah kangkung...ada juga nasi gr tom yum....laziiiiz ||| ayam tangkap-nya enak, 1 porsi ayam potongan 1/4, es teh tariknya juga enak ||| Pilih ayam tangkap n udang tangkap.
Rasanya berempah, enak banget, sambelnya pedes..

Tahu cabe garamnya enaaaakk. Kangkung hotplatenya juga mantep.
Jangan lupa pesen es teh tarik atau kopi tarik ulurnya.

Sayang sih agak sepiii, padahal enak lho dan harganya juga masih bersahabat.
Kl kata di pelem2 tempat ini kayak underrated.

Harus nyobain makan di siniii siihhh";Indra
kedai kopi apin - bandung_depan remaja tailor, jl. ciumbuleuit gg. rahayu 2 no.51;Kedai Kopi Apin - Bandung;5.0;1.0;Depan Remaja Tailor, Jl. Ciumbuleuit Gg. Rahayu 2 No.51;Kota Bandung;Kedai Kopi;Tempatnya tenang, dingin, viewnya juga bagus. Enak buat yang mau santai sambil ngopi;Indra
kopi mana kopi?_jl. karang tineung no.30-8;Kopi Mana Kopi?;4.6;0.0;Jl. Karang Tineung No.30-8;Kota Bandung;Kafe;;Indra
point cafe pasteur 78_jl. dr. djunjunan no.78;Point Cafe Pasteur 78;2.4;30.0;Jl. Dr. Djunjunan No.78;Kota Bandung;Kedai Kopi;Nyuruh anak tuker voucher VIP point coffee...dtg ke point coffee nya kata c aa nya ia ini dpt diskon 100% kedepan dl untuk pembayaran sambil nunjuk ke arah kasir indomaret. Pas di kasir indomaret,kasir nya bilang sini di cek dl... Taunya pembayaran yg asalnya Shopeepay dia rubah jd shopeepaylater. Bnr2 Kasir indomaret membagongkan.. Aliran sesat...Ngecek boleh tapi tidak untuk merubah sistem pembayaran sehingga voucher VIP nya jd tidak terpakai yang harusnya diskon 100% jadi harus bayar 100% gilaaaaaaaa ||| mau sekalian di laporin ga nih ke ig point coffee? diliat liat rating disini anjlok banget☺️ ||| Saya perjalanan dari jakarta ke bandung , sengaja mampir ke Indomaret pasteur untuk membeli makan ringan, setelah beli mau duduk di kursi tapi tidak diperbolehkan oleh mba mba barista Indomaret point karena harus sekalian beli kopi kalau mau duduk ||| Pelayanan jelek banget , pelayan namanya MANDA kurang ajar , gak sopan , tolong dong sekelas point coffee pelayanannya jelek bgt ||| Barista di pasteur ga sopan,, judes, sok cantik namanya MANDA Tolong di kasih training lagi untuk PELAYANAN dan SOPAN SANTUN;Indra
warung kopi flamboyan_jl. dr. setiabudi no.235;Warung Kopi Flamboyan;5.0;15.0;Jl. Dr. Setiabudi No.235;Kota Bandung;Kedai Kopi;"Malam hari, Nyantai di Halaman Yang Asri, udaranya sejuk sambil nyruput segelas Coklat Panas dan Coffe lemonade diiringi musik lembut... ||| staffnya ramah semua, vibes retro gitu sama rumah nenek nyaman pokoknya,, apalagi sofa di dalam enak, kopi dan makanannya the best juga, tongkrongannya anak upi tapi saya sebagai anak ulbi menyusup huahauhahuha. thank u, recomended! ||| Lumayan nyesel baru tau tempat kopi ini, tempatnya klasik, suasananya penuh kekeluargaan, dan cocok juga jadi tempat nugas.
Kopinya pun enak🔥
Gas merapat lah ||| Tempat nya classic..serasa di rumah nenek enak buat nongkrong bikin betah ||| Best, harga terjangkau kopi enak";Indra
point cafe dipatiukur_indomaret point, jl. dipati ukur no.85;Point Cafe Dipatiukur;4.1;43.0;Indomaret Point, Jl. Dipati Ukur No.85;Kota Bandung;Kedai Kopi;"Lokasinya dekat dengan shuttle/agen2 travel. Jadi sambil nunggu bisa ngopi2 disni ||| teteh baristanya baik, ramah dan helpful. nama di tagnya tina, makasih ya teh. semoga barista lain bs kaya teteh hehe ||| Mesin kopi rusak, akhirnya pesan matcha latte non sugar. Malah dikasih matcha latte manis. Info kasir matcha nya memang sudah manis. Pelayanan buruk, kalau memang sudah manis, dikasih tau bukan hanya supaya dagangan anda dibeli orang. Kapok beli di point cafe ||| aku suka peach teanya point dan juga sering beli di sini. waktu pertama kali beli di outlet ini, aku beli ice peach tea tapi di kasih yg panas dan waktu di balikin (karena aku kasi tau dia), ice peach teanya cuma itu ngga kayak yang biasanya. teh panasnya di masukin ke gelas plastiknya (masih dengan tea bagny) dan di kasih es (yang langsung meleleh). rasanya ga kayak ice peach tea samsek. tapi gapapa soalnya waktu itu emang pagi rame jadi mbanya juga keos ||| Menu standar Indomaret. Mba-mbak Indomaret nya ada yg kurang bersemangat.
Tempat duduk ala Point Coffee nya juga kurang banget (meja kurang, rada kotor).";Indra
point cafe cihampelas 198_jl. cihampelas;Point Cafe Cihampelas 198;4.2;25.0;Jl. Cihampelas;Kota Bandung;Kedai Kopi;"happyy bgttt belanja disini banyak kursii, point coffee nya juga lengkap polll ||| Kopinya cukup enak, sepertinya hanya ada Espresso Based saja di sini, harganya cukup terjangkau dan selalu ada promo setiap bulannya yaitu potongan harga beberapa menu kopi, tempatnya nyaman karena terdapat smoking area dan non smoking area di bagian dalam Indomaret, pelayanannya baik dan ramah. ||| Salah satu toko kopi yang menawarkan kualitas kopi yang baik dengan harga yang terjangkau. Di sini terdapat banyak variasi kopi yang ditawarkan, dan tidak menutup kemungkinan kamu bisa melakukan request terhadap pesananmu. Lokasi point cafe ini di dalam Indomaret jalan Cihampelas. Highly Recommended.

*In picture: Asian Dolce Latte. Really recommended. ||| Saya merasa dirugikan karena anda tidak teliti membuat pesanan. Hati-hati yang belanja disini dicek dulu pesanannya sebelum meninggalkan counter, soalnya suka ngawur seenak barista. ||| Beli kopi disini karena deket dari RS Advent..
Beli 4 botol 70.000..
Rasa kopi jadul, hazelnut, gula palem, dan caramel..
Saya paling suka yg kopi jadul..
Dan ternyata memang best seller juga katanya..

Tempatnya lumayan lah buat menghilangkan kejenuhan di RS..
Bisa duduk-duduk sambil ngopi sambil makan jajanan dari Indomaret, hehehe..";Indra
