"title","stars","text","publishedAtDate","likesCount","name","reviewerNumberOfReviews","isLocalGuide","responseFromOwnerDate","responseFromOwnerText","originalLanguage","publishAt","rating","reviewContext/Layanan","reviewContext/Positif","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewOrigin","reviewUrl","reviewerId","reviewerPhotoUrl","reviewerUrl","textTranslated","translatedLanguage","visitedIn"
"DISINIADASETANG (Jasa Roll Pipa & Bengkel Motor Custom )","5",,"2025-05-28T05:45:48.175Z","0","Boby Jaya","0","false",,,,"setahun lalu",,,,"ChZDSUhNMG9nS0VOelo0WkRVcjlxZFpnEAE",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VOelo0WkRVcjlxZFpnEAE!2m1!1s0x0:0x840d382301c88b5e!3m1!1s2@1:CIHM0ogKENzZ4ZDUr9qdZg%7C%7C?hl=id","107821568345433444379","https://lh3.googleusercontent.com/a/ACg8ocKcByK64Rtc1edPHZr0_S3FsJ7hr3bEZKB3xQYaAW35KUY8Nw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107821568345433444379?hl=id",,,
"Helen Motor","5","Saya menyukai tempat ini karena kariyawan di tempat ini sangat ramah dan harga part di bengkel ini terjangkau dan pelayanan yang di berikan sangat memuaskan bengkel ini juga menerima service dari ringan sampe berat yaitu turun mesin oleh mekanik profesional dan di belakang helen motor ada helen tailor","2017-06-18T02:24:12.729Z","1","wahyu tri gondo","7","true",,,"id","9 tahun lalu",,,,"ChZDSUhNMG9nS0VJQ0FnSURBN0w2T1l3EAE",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURBN0w2T1l3EAE!2m1!1s0x0:0x6a551c66eeaa6aa9!3m1!1s2@1:CIHM0ogKEICAgIDA7L6OYw%7C%7C?hl=id","103628575874707945919","https://lh3.googleusercontent.com/a-/ALV-UjU9b3SCMcCKM6ejs8TLSD5g5YycYHJ9vSQ_UoaJFQBcb-t3WzY6LA=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/103628575874707945919?hl=id",,,
"Helen Motor","3","Salah satu bengkel motor yang menjual berbagai macam sperpart motor dengan harga yang terjangkau","2019-09-20T09:49:19.269Z","0","Cecep Syarifuddin","55","true",,,"id","6 tahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSUMwNG9yazVnRRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMwNG9yazVnRRAB!2m1!1s0x0:0x6a551c66eeaa6aa9!3m1!1s2@1:CIHM0ogKEICAgIC04ork5gE%7C%7C?hl=id","117992132117987981736","https://lh3.googleusercontent.com/a-/ALV-UjVSikLP4A7fAyeetAYGxRLW0zqC0gsHuEkT5xvy71plN7uhX5gl=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/117992132117987981736?hl=id",,,
"Helen Motor","5","Pelayanan ramah ,puas dan meyakinkan .....sukses sukses","2018-07-13T17:32:58.089Z","0","Noenks Idris0309","1","false",,,"id","7 tahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSURBd2R1LWp3RRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURBd2R1LWp3RRAB!2m1!1s0x0:0x6a551c66eeaa6aa9!3m1!1s2@1:CIHM0ogKEICAgIDAwdu-jwE%7C%7C?hl=id","108094385754329017084","https://lh3.googleusercontent.com/a-/ALV-UjUi09IW6lFBBpRNAD8gLb_UWB2YeV0r8NKbjkBQKxgg28K1yuk=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/108094385754329017084?hl=id",,,
"Helen Motor","5","Sayang jalannya kecil ya gimana lagi","2019-04-11T10:06:07.405Z","0","yasir subarkah","124","true",,,"id","7 tahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSUNZbXNhS2tnRRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZbXNhS2tnRRAB!2m1!1s0x0:0x6a551c66eeaa6aa9!3m1!1s2@1:CIHM0ogKEICAgICYmsaKkgE%7C%7C?hl=id","115042579541543917643","https://lh3.googleusercontent.com/a-/ALV-UjV7yy-Ih2D4HDagp0U0m51c9cX5ufZqsARtJAPxpDymqbK39lBQ=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/115042579541543917643?hl=id",,,
"Helen Motor","3","pelayanan lumayan","2019-08-31T15:12:03.536Z","0","Syaefullah T. Pessa","43","true",,,"id","6 tahun lalu",,,,"ChZDSUhNMG9nS0VJQ0FnSURVemY3OUd3EAE",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURVemY3OUd3EAE!2m1!1s0x0:0x6a551c66eeaa6aa9!3m1!1s2@1:CIHM0ogKEICAgIDUzf79Gw%7C%7C?hl=id","115502425718656830915","https://lh3.googleusercontent.com/a-/ALV-UjWbSq9J9bBjdnPaXR9vNtz23fp5guASH5SghSP61J7EcAsID2c=s1920-c-rp-mo-ba12-br100","https://www.google.com/maps/contrib/115502425718656830915?hl=id",,,
"Bengkel Motor Mandiri","5","Bapaknya baik ... kerjanya satset🙏","2025-01-24T06:45:17.389Z","0","Ekha Shfitry","3","false",,,"id","setahun lalu",,,,"ChZDSUhNMG9nS0VJQ0FnSURfanIydmF3EAE",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfanIydmF3EAE!2m1!1s0x0:0xe625d0108e35cd1a!3m1!1s2@1:CIHM0ogKEICAgID_jr2vaw%7C%7C?hl=id","101764216040599201363","https://lh3.googleusercontent.com/a-/ALV-UjWByN28NlNQ88LO979a_NqXzvojmIEfncuBoIeku7FIS32axPXi=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101764216040599201363?hl=id",,,
"Bengkel Motor Mandiri","5","mantap pokona mah","2025-03-27T02:31:39.900Z","0","Ferry XD","4","false",,,"su","setahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnTUR3aGRxTzJBRRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUR3aGRxTzJBRRAB!2m1!1s0x0:0xe625d0108e35cd1a!3m1!1s2@1:CIHM0ogKEICAgMDwhdqO2AE%7C%7C?hl=id","103528539885192464793","https://lh3.googleusercontent.com/a-/ALV-UjW3GVqfmZm_QXttoQLQmiffxRPy2i5lYyVDh6F1m6lF752YYatrVA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103528539885192464793?hl=id","Saya yakin.","id",
"Bengkel Motor Mandiri","5","Attitude 10/10","2024-11-19T04:29:00.884Z","0","Bryant Randolph","2","false",,,"en","setahun lalu",,,,"ChZDSUhNMG9nS0VJQ0FnSUQzNjhfZE5nEAE",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQzNjhfZE5nEAE!2m1!1s0x0:0xe625d0108e35cd1a!3m1!1s2@1:CIHM0ogKEICAgID368_dNg%7C%7C?hl=id","110813891633085800688","https://lh3.googleusercontent.com/a-/ALV-UjUcIzQrrykXGOSLH8gk793ygo1XRZPn8Tz7HSzexcuq_0th_5AN=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110813891633085800688?hl=id","Sikap 10/10","id",
"Bengkel Motor Mandiri","5",,"2025-01-24T10:01:27.125Z","0","caeunwo taehyung","2","false",,,,"setahun lalu",,,,"ChdDSUhNMG9nS0VJQ0FnSURfN3VTd2lBRRAB",,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURfN3VTd2lBRRAB!2m1!1s0x0:0xe625d0108e35cd1a!3m1!1s2@1:CIHM0ogKEICAgID_7uSwiAE%7C%7C?hl=id","110237717610836439132","https://lh3.googleusercontent.com/a/ACg8ocJ3NihnS5XSDK7R5t6o6Dqv4UcD8iplI_iEyoWN_p3NusUDKZZA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110237717610836439132?hl=id",,,
