title;stars;text;publishedAtDate;likesCount;name;reviewerNumberOfReviews;isLocalGuide;responseFromOwnerDate;responseFromOwnerText;originalLanguage;publishAt;rating;reviewId;reviewImageUrls/0;reviewImageUrls/1;reviewImageUrls/2;reviewImageUrls/3;reviewImageUrls/4;reviewImageUrls/5;reviewImageUrls/6;reviewImageUrls/7;reviewImageUrls/8;reviewImageUrls/9;reviewImageUrls/10;reviewImageUrls/11;reviewImageUrls/12;reviewImageUrls/13;reviewImageUrls/14;reviewImageUrls/15;reviewImageUrls/16;reviewImageUrls/17;reviewImageUrls/18;reviewImageUrls/19;reviewImageUrls/20;reviewImageUrls/21;reviewImageUrls/22;reviewImageUrls/23;reviewImageUrls/24;reviewImageUrls/25;reviewImageUrls/26;reviewImageUrls/27;reviewImageUrls/28;reviewImageUrls/29;reviewImageUrls/30;reviewImageUrls/31;reviewImageUrls/32;reviewImageUrls/33;reviewImageUrls/34;reviewImageUrls/35;reviewImageUrls/36;reviewImageUrls/37;reviewImageUrls/38;reviewImageUrls/39;reviewImageUrls/40;reviewImageUrls/41;reviewImageUrls/42;reviewImageUrls/43;reviewImageUrls/44;reviewImageUrls/45;reviewImageUrls/46;reviewImageUrls/47;reviewImageUrls/48;reviewImageUrls/49;reviewOrigin;reviewUrl;reviewerId;reviewerPhotoUrl;reviewerUrl;textTranslated;translatedLanguage;visitedIn;;;;;;;;;;;;
Elizabeth Ciateul;5;Langganan beli disini dr dulu... fashion, tas2 nya bagus berkualitas gak pasaran pula... Tempatnya jg nyaman dan Harga terjangkau;2026-03-04T16:47:22.792Z;0;Shinta Andriani;4;FALSE;;;id;3 bulan lalu;;Ci9DQUlRQUNvZENodHljRjlvT25WU09EbDVURkJLVldkdllpMHRjbkE1VEZwVlduYxAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Google;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WU09EbDVURkJLVldkdllpMHRjbkE1VEZwVlduYxAB!2m1!1s0x0:0xcf8ca3527db1f04a!3m1!1s2@1:CAIQACodChtycF9oOnVSODl5TFBKVWdvYi0tcnA5TFpVWnc%7C%7C?hl=id;1,1084E+20;https://lh3.googleusercontent.com/a-/ALV-UjVOO5BExFxwgvUvslJWD8lk3xBbtVkj36JSEbc1qxRFRHbQ6Oro=s1920-c-rp-mo-br100;https://www.google.com/maps/contrib/110839505582913454792?hl=id;;;;;;;;;;;;;;;
Elizabeth Ciateul;5;parkir nya luas. koleksi tas wanita banyak, ada tas dan dompet pria juga. toko nya rapi dan bersih, pelayan juga ramah. harga terjangkau dan kualitas juga bagus;2025-06-25T09:52:15.398Z;0;Fadey Jevera;263;TRUE;;;id;11 bulan lalu;;Ci9DQUlRQUNvZENodHljRjlvT2xGT1ZVbFFRa3d0VTJoVFpuTjFZVGs0VkcwM1dtYxAB;https://lh3.googleusercontent.com/grass-cs/ANxoTn2iXlcWI7HiTZdEVfAbtQpFgnzx5a8cgt02qlN8h0D5GOC3uxyFKnQ7wAWmGj3cypQ9d7AKow09XHS92_zf2CbDLG3Hf0lLm0IsjIE_pLO7xPgKJ4UAS1Ryfg9WrZZIbIAske2buKcovu0=k-no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Google;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xGT1ZVbFFRa3d0VTJoVFpuTjFZVGs0VkcwM1dtYxAB!2m1!1s0x0:0xcf8ca3527db1f04a!3m1!1s2@1:CAIQACodChtycF9oOlFOVUlQQkwtU2hTZnN1YTk4VG03Wmc%7C%7C?hl=id;1,11493E+20;https://lh3.googleusercontent.com/a-/ALV-UjX2x-EFI0vGhZQfldvNcQwYDGlTInxSupGN2OCZwfm2VA6N_lqr=s1920-c-rp-mo-ba12-br100;https://www.google.com/maps/contrib/111492567324157638454?hl=id;;;;;;;;;;;;;;;
Elizabeth Ciateul;5;Brand lokal yang gak perlu di ragukan lagi kualitasnya. Harga pun bersaing. Bangga  buatan indonesia ♥️. Disini Pelayanan ramah, tempat bersih nyaman.;2024-03-22T05:18:18.777Z;0;Rika Rosida;15;TRUE;;;id;2 tahun lalu;;ChdDSUhNMG9nS0VJQ0FnSUQ5bF91UDlBRRAB;https://lh3.googleusercontent.com/grass-cs/ANxoTn24yQSMhhyaBeqRq3iKjIHqtMGN5T1s_rso2RxPX4wFGIKqizc8dhHsGGpVT0CF6Si9duhyTdXBqgTnrPRQOvLSuU4jy44coURTnQ9axrQUuWMkHzMgJSlqPligpbKrNV8tfdQ=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn3j8Oj12x4z5x1PLsGx9dxvwSDlIrtItFhIVVneh2_WqBcCBjTM2hVsCNnHnZRKFvKXF8NpDmMn9irGi1R7e_Q7LY3sau3ks6Mx5Ndp45lWTHvNldfkJoLVy_cHvMDIpAZnvZwKCA=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn3Lcl9RzvLuLDZ5ljbEetzD_Av24JWYEzKZGqY0zk2rFxLsOdZoxEq7blC3sZ0RaU3xupWGDpTnPOhv0qTuIUT4pWW48qCAzPfa4-ce9-M7piVBX_LdLRnG94Nj7xjSQ7CnZXw=k-no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Google;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ5bF91UDlBRRAB!2m1!1s0x0:0xcf8ca3527db1f04a!3m1!1s2@1:CIHM0ogKEICAgID9l_uP9AE%7C%7C?hl=id;1,0616E+20;https://lh3.googleusercontent.com/a-/ALV-UjWJvl1X-VjA6Q8j-TUu-dwMEm_IIxbdTQzzqqxUUAFUoMdv9Co8=s1920-c-rp-mo-ba12-br100;https://www.google.com/maps/contrib/106160451377697007194?hl=id;;;;;;;;;;;;;;;
Elizabeth Ciateul;5;Pertama ke elizabeth ciateul, lokasi cukup strategis dengan parkir luas. Model tas up to date, pelayanan ramah dan harga kompetitif.;2022-02-12T14:01:49.130Z;1;Yoriza Indrie;409;TRUE;;;id;4 tahun lalu;;ChdDSUhNMG9nS0VJQ0FnSURtOTdTNTJRRRAB;https://lh3.googleusercontent.com/grass-cs/ANxoTn20ELk5nBr77rUSVQPW_REJ4iY-L6IPvtOHklGA9iOiFH2bFxYvWOYAtZc5iV8B4ZtJybOhUfd5cVusSu5oAQf7MO_Hb2V0lL5clDxI0BaHGNB_veI0GYypliUwW7yXcqK7gHAg=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn1A3gVF7NseEixTaKu3kzkZSTLirRsiBeoGpIGcANn_Mx7n52NUmqv84ArOxc7SQTUCdqL3aNFuwGg_5idYH--J78tBQsV0JyCSLBhW1xpHfBEKsMAtcQf7XjQ714mIVF6NR9UXdQ=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn2-XWCASrsY3ztSg99cW8pNarZ3ATNGUDTA9e_50CN4ydClnRv31eZ4Vxy0QU3cfAYM4ehSZTJAdftmv8BJ4RmmA1rxJq2NhfWb8JXcKtqX2hZC_Y6bMP4kiiif7bKF1OstG8AM=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn1HmQKytcUrH1wAbfcTOmP6W3-nbWEd3eYh_gZLF5L_gHVxcGNcTF9wpvc9BKfzK9S7lkJQCur82qRV1L4JNFOcvsxRdoE3Re28qJwi3CoLcTu3478FlKqRjJaHk52GOnN9LpfSpw=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn3QyFFLUQUtMTxoRuUDBIFbpzCUb-SVi4YsMJj_pnKtIJm1p7dNv2esdYBzi3z3QzSTlJveM6-jFGKGEWobWGYPcbxj2k2NGAWnv56s4X-GtJHN5V3C5-Jf8gQI3YodhtVkByOe=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn1KhitTdRYMedjO8M9n6agHVEgvG6_j-VH4nSl4AiYToi9bO6uz5abxM_zPHsimo3I02-VZ6oii0BMcURGf0I7x47HKryT1olAlqSHJHvr_Ri6qb1T7NTipAPO5e-ylT8zlAsV38A=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn30z1ZCfwhLEGyTU4SWZ486P8aT1VFSeO1lzqSZoWI_xNjMPordaQVcH6JEXhIYt_RK5GbJBe4yG6TuJuOJNg3ih2nI_cOwKfonaSh5q90e1S-SP31oNLBFbGtxXeAZLBugyKLX=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn3h8jcwiYloDFEsdWmb6r972sCpESvdGbm-heWwizUpLPJ8mbZ0IyjrEPt3GbdxwUvrO1Jo5MGu6g6flP-TQbbXiWpPUq4cB_uJaeUhUk1E29mX9CfZjPtSvW8RY87g5KGQaSG2=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn2CLOg4zJjY32XKw8hiGUMwSGiubdlQ26aoPHsK5xw1igyrc-KiFNxoJhMlUcX1XaWGUS211YrSMW2AvvP8dVo8Ul1FNsYkCExKZtoTu7avshuUFxdidPJhkiCa0sQxRJtdbXbK=k-no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Google;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURtOTdTNTJRRRAB!2m1!1s0x0:0xcf8ca3527db1f04a!3m1!1s2@1:CIHM0ogKEICAgIDm97S52QE%7C%7C?hl=id;1,17347E+20;https://lh3.googleusercontent.com/a-/ALV-UjVw1V6JzLixVaNFD7VmbzbUpNClS6MYFW0eWETa6nwhR_mSzMA=s1920-c-rp-mo-ba12-br100;https://www.google.com/maps/contrib/117346726911143555597?hl=id;;;;;;;;;;;;;;;
Elizabeth Ciateul;5;Lengkap...designnya elegant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahitannya rapih..;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tempat belanjanya sangaaat nyaman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"tempat perkir luas""";2018-11-16T11:40:36.606Z;0;Jessica Tanumihardja;527;TRUE;;;id;7 tahun lalu;;ChZDSUhNMG9nS0VJQ0FnSUNJN3VIcmV3EAE;https://lh3.googleusercontent.com/grass-cs/ANxoTn1z4I5w9kB720HWWeOWh6OXQVh9HMQZS3dTXqFtFOd6XUU2mOvHZOd-yElLacE4Fsp0nwaowFmqqVURWE3bgFhqZ707v6lHUM1tqOzyv7E76ZEPS7wdm5u9wNrOHepuH6PX9pI=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn2qOk0YeqGlrsTGNx3BRpK4fUBO53WbnS0yaJ4ImPSwzpDIRIXeFgC7pzLQMi8quaTSjkDwWuJyEi5M2dsnEvRTRcG4-h23hYEqiF3CClXHAInsHjxW3DG37-QS_K5phSLmrx6b=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn0Un_JMoUU9YAwYEDc7gMPPvXQ5EKoRufuX3fpaqo2QHd_br_mrecRMzk7GxCPZM8tG963u03bPED60ron_CanPbwuA3tiSh1jM6oRg1arysyCrIRfJ_uCa3Zsc_rPAnyvyH1nv=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn1V7rVvRmCTiyC3xns3kgMt0zSRFpw8Xre6MjHwIVp29Hjlt0pKUBbGBaTXIL-lexT8H6Ll5sCj-S3TCq20GfgC-VTyPYdj2JqkZKc6amdytetSb9wBGZXgo2rwP9lSA20NsoHt=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn16aIXLz8Xt933L1Nemdh0ptdZadLfBUrY2EoPRwKRKAgYFNcbX6dL5ecQeQV0nqO_SobSyom1a4IQ4mjc3Xi8VA7VbnvY0s4TQg4zh4urDl3Kjav3kkk3mIjevYHIKjB75n2i4yg=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn0vh4M7fI9RvR_YDNC_hLmvSnqZUariXziZPbQspKr_T_yMbZLruA89cDXNNBTkRxFy0Z8E04sTZOdljSgeNi1CXaBdwei90dMEjfPnSwU64ApkYYx8ngSAiVYMferKxuLhHdUdEQ=k-no;https://lh3.googleusercontent.com/grass-cs/ANxoTn1hEdbSq-GNGgV80xMKCVCyAJoAhO0Tekl2lb4749Q3Fv1avedV14NRwi90EH_uM83DFWn2ut9omsA50H2cTaMOQ3XWEeaRMyepaqk4RWyU8NQ_JHjrx3elSM86_StlifMdoPq-=k-no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Google;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNJN3VIcmV3EAE!2m1!1s0x0:0xcf8ca3527db1f04a!3m1!1s2@1:CIHM0ogKEICAgICI7uHrew%7C%7C?hl=id;1,1645E+20;https://lh3.googleusercontent.com/a-/ALV-UjXNVM_DKh4E_DImcGX1w1QCuYPal8H1zfPOjmjmMJ4dX-7chpl_Sg=s1920-c-rp-mo-ba12-br100;https://www.google.com/maps/contrib/116449584980071628902?hl=id;;;;;;;;;;;;;;;;;
Pabrik Tas CV. Kreasi Cipta Makmur;5;mantap bisa selesai tas seminar 300 pcs dalam 5 hari, acara berjalan lancar sesuai rencana, thx tim konveksi kreasi cipta makmur;2019-10-30T05:49:42.596Z;0;Ariska Jenong;1;FALSE;;;id;6 tahun lalu;;ChdDSUhNMG9nS0VJQ0FnSUQwMHBMcXJBRRAB;https://lh3.googleusercontent.com/grass-cs/ANxoTn0j_r7kJX4A9kOx_ktGhQP6TtfRggCM18zmEqKRs_Oje4NHcoGdgYMURsqB0bisGn-drQWR-yan3vhJEed3JshtpcLqRTZc61YsQCDm5F3t4R0N2cD9stdc3CAQAkd8HvdNR_4=k-no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Google;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQwMHBMcXJBRRAB!2m1!1s0x0:0x231d4a4a9a3da4ce!3m1!1s2@1:CIHM0ogKEICAgID00pLqrAE%7C%7C?hl=id;1,12794E+20;https://lh3.googleusercontent.com/a/ACg8ocJeuSoajDH_4Aw5wlditfpc7QeKq5U9TStDwD1JngHN2iQFJg=s1920-c-rp-mo-br100;https://www.google.com/maps/contrib/112793708870034039409?hl=id;;;;;;;;;;;;;;;
